seed,timestamp,a3c_final_reward,individual_final_reward,difference
42,20251006_002501,56.45600000000003,60.22150000000003,-3.765499999999996
123,20251006_003005,63.58950000000001,61.199500000000015,2.3899999999999935
456,20251006_003518,57.713500000000025,60.56200000000001,-2.848499999999987
789,20251006_004024,60.07500000000001,59.247000000000014,0.8279999999999959
1024,20251006_004534,64.37550000000002,63.17600000000001,1.1995000000000076
2048,20251006_005041,47.56700000000002,59.02750000000002,-11.460499999999996
4096,20251006_005531,57.349000000000025,59.070500000000024,-1.721499999999999
8192,20251006_010032,60.505500000000005,57.849000000000025,2.65649999999998
16384,20251006_010534,59.46650000000001,59.588,-0.1214999999999904
32768,20251006_011038,58.998000000000005,58.625500000000024,0.37249999999998096
